fecha,local,visitante,corners_local,corners_visita,corners_total,p_over_8.5,p_over_9.5,p_over_10.5,p_mas_corners_local,p_empate_corners,p_mas_corners_visita,sin_datos_statsbomb
2026-06-23,Portugal,Uzbekistan,5.63,3.9,9.53,0.586,0.472,0.365,0.623,0.099,0.278,Uzbekistan
2026-06-23,Colombia,DR Congo,4.03,4.2,8.23,0.435,0.323,0.229,0.421,0.119,0.46,
2026-06-23,England,Ghana,4.51,3.64,8.15,0.425,0.314,0.221,0.54,0.116,0.344,
2026-06-23,Panama,Croatia,3.93,4.29,8.22,0.434,0.321,0.227,0.401,0.119,0.48,
2026-06-24,Scotland,Brazil,4.09,6.05,10.14,0.648,0.539,0.431,0.265,0.093,0.642,
2026-06-24,Mexico,Czech Republic,5.69,4.42,10.11,0.645,0.536,0.428,0.575,0.1,0.326,
2026-06-24,South Africa,South Korea,4.24,5.21,9.46,0.578,0.464,0.357,0.348,0.106,0.546,
2026-06-24,Canada,Switzerland,4.69,5.18,9.86,0.622,0.509,0.401,0.398,0.105,0.497,
2026-06-24,Bosnia and Herzegovina,Qatar,4.55,4.41,8.97,0.523,0.408,0.304,0.459,0.113,0.428,Bosnia and Herzegovina
2026-06-24,Morocco,Haiti,4.26,4.78,9.03,0.531,0.416,0.312,0.389,0.111,0.5,Haiti
2026-06-25,Curaçao,Ivory Coast,4.97,5.05,10.02,0.637,0.527,0.418,0.44,0.105,0.455,Curaçao
2026-06-25,United States,Turkey,4.53,4.63,9.16,0.546,0.431,0.325,0.434,0.111,0.455,
2026-06-25,Paraguay,Australia,4.44,3.91,8.35,0.45,0.336,0.24,0.5,0.117,0.383,
2026-06-25,Tunisia,Netherlands,4.98,5.29,10.27,0.661,0.553,0.445,0.418,0.103,0.479,
2026-06-25,Japan,Sweden,5.17,4.38,9.55,0.589,0.475,0.367,0.528,0.106,0.366,
2026-06-25,Ecuador,Germany,3.89,5.57,9.46,0.578,0.464,0.357,0.281,0.1,0.619,
2026-06-26,Uruguay,Spain,3.66,5.15,8.81,0.505,0.39,0.288,0.29,0.106,0.605,
2026-06-26,Cape Verde,Saudi Arabia,5.5,4.25,9.75,0.61,0.497,0.389,0.574,0.102,0.324,
2026-06-26,Norway,France,4.21,5.12,9.34,0.565,0.451,0.344,0.352,0.107,0.541,Norway
2026-06-26,Egypt,Iran,4.87,4.01,8.89,0.514,0.399,0.296,0.536,0.111,0.353,
2026-06-26,New Zealand,Belgium,4.37,4.87,9.24,0.555,0.44,0.334,0.392,0.11,0.498,New Zealand
2026-06-26,Senegal,Iraq,5.1,4.46,9.57,0.59,0.477,0.369,0.512,0.107,0.381,Iraq
2026-06-27,Colombia,Portugal,3.91,5.26,9.17,0.546,0.431,0.326,0.307,0.105,0.589,
2026-06-27,Jordan,Argentina,4.0,5.13,9.13,0.542,0.427,0.322,0.329,0.107,0.564,Jordan
2026-06-27,DR Congo,Uzbekistan,4.49,4.02,8.52,0.47,0.356,0.257,0.494,0.116,0.391,Uzbekistan
2026-06-27,Panama,England,3.27,4.39,7.66,0.364,0.259,0.175,0.311,0.118,0.571,
2026-06-27,Algeria,Austria,4.75,4.53,9.28,0.559,0.444,0.338,0.468,0.11,0.421,
2026-06-27,Croatia,Ghana,4.4,4.38,8.79,0.502,0.387,0.285,0.445,0.114,0.441,
