fecha,local,visitante,tarjetas_total,p_over_2.5,p_over_3.5,p_over_4.5,sin_datos_statsbomb
2026-06-23,Portugal,Uzbekistan,3.84,0.727,0.528,0.34,Uzbekistan
2026-06-23,Colombia,DR Congo,3.74,0.712,0.51,0.322,
2026-06-23,England,Ghana,4.16,0.774,0.59,0.402,
2026-06-23,Panama,Croatia,3.81,0.723,0.523,0.335,
2026-06-24,Scotland,Brazil,4.01,0.754,0.562,0.373,
2026-06-24,Mexico,Czech Republic,5.13,0.875,0.74,0.574,
2026-06-24,South Africa,South Korea,3.45,0.662,0.449,0.268,
2026-06-24,Canada,Switzerland,4.46,0.81,0.641,0.456,
2026-06-24,Bosnia and Herzegovina,Qatar,3.97,0.747,0.554,0.365,Bosnia and Herzegovina
2026-06-24,Morocco,Haiti,3.8,0.721,0.521,0.333,Haiti
2026-06-25,Curaçao,Ivory Coast,4.1,0.766,0.579,0.391,Curaçao
2026-06-25,United States,Turkey,4.96,0.861,0.717,0.545,
2026-06-25,Paraguay,Australia,4.01,0.753,0.561,0.372,
2026-06-25,Tunisia,Netherlands,3.47,0.665,0.454,0.272,
2026-06-25,Japan,Sweden,3.74,0.712,0.51,0.322,
2026-06-25,Ecuador,Germany,4.14,0.772,0.587,0.398,
2026-06-26,Uruguay,Spain,3.95,0.744,0.55,0.361,
2026-06-26,Cape Verde,Saudi Arabia,3.83,0.727,0.528,0.34,
2026-06-26,Norway,France,3.86,0.731,0.533,0.345,Norway
2026-06-26,Egypt,Iran,3.85,0.729,0.53,0.342,
2026-06-26,New Zealand,Belgium,3.75,0.714,0.512,0.325,New Zealand
2026-06-26,Senegal,Iraq,3.9,0.737,0.541,0.352,Iraq
2026-06-27,Colombia,Portugal,3.93,0.741,0.546,0.357,
2026-06-27,Jordan,Argentina,4.24,0.785,0.604,0.417,Jordan
2026-06-27,DR Congo,Uzbekistan,3.65,0.698,0.492,0.306,Uzbekistan
2026-06-27,Panama,England,3.84,0.728,0.529,0.341,
2026-06-27,Algeria,Austria,4.31,0.794,0.617,0.43,
2026-06-27,Croatia,Ghana,4.14,0.771,0.586,0.397,
